transaction_id,transaction_date,customer_id,product_id,store_id,quantity,total_amount
1,2024-01-01,1,101,1,1,1000.0
2,2024-01-02,2,102,2,2,1600.0
3,2024-01-03,3,103,3,1,300.0
4,2024-01-04,4,104,1,3,300.0
5,2024-01-05,5,105,2,2,400.0
6,2023-01-06,45,28,95,6,591.25
7,2023-01-07,80,97,88,5,35.4
8,2023-01-08,84,99,62,3,914.67
9,2023-01-09,80,35,36,2,162.35
10,2023-01-10,21,36,87,4,361.19
11,2023-01-11,48,48,15,9,941.64
12,2023-01-12,3,42,43,1,518.28
13,2023-01-13,34,30,61,6,495.46
14,2023-01-14,37,32,42,7,265.9
15,2023-01-15,20,81,61,2,133.6
16,2023-01-16,12,26,6,3,640.31
17,2023-01-17,13,42,60,3,364.64
18,2023-01-18,89,72,95,1,358.64
19,2023-01-19,35,27,57,6,896.92
20,2023-01-20,3,6,48,3,21.36
21,2023-01-21,47,42,49,7,466.11
22,2023-01-22,96,15,89,5,718.15
23,2023-01-23,35,23,15,5,702.91
24,2023-01-24,28,64,2,8,828.51
25,2023-01-25,44,27,92,1,446.7
26,2023-01-26,42,76,71,8,476.38
27,2023-01-27,32,54,51,5,250.27
28,2023-01-28,48,34,32,3,33.42
29,2023-01-29,16,57,32,2,618.96
30,2023-01-30,43,2,64,6,102.82
31,2023-01-31,11,30,45,5,601.03
32,2023-02-01,76,90,77,9,163.68
33,2023-02-02,98,70,35,1,191.8
34,2023-02-03,4,80,40,6,858.72
35,2023-02-04,4,28,72,4,285.36
36,2023-02-05,74,34,61,6,288.46
37,2023-02-06,84,5,61,3,986.31
38,2023-02-07,3,38,29,6,974.52
39,2023-02-08,25,60,89,2,252.64
40,2023-02-09,19,53,71,1,709.01
41,2023-02-10,38,83,27,7,667.04
42,2023-02-11,27,96,57,8,320.57
43,2023-02-12,62,57,6,9,784.73
44,2023-02-13,63,34,20,6,434.04
45,2023-02-14,58,99,18,3,813.32
46,2023-02-15,67,87,58,8,369.9
47,2023-02-16,65,4,82,6,528.64
48,2023-02-17,56,85,90,8,152.93
49,2023-02-18,11,29,37,5,88.42
50,2023-02-19,31,66,16,9,438.73
51,2023-02-20,23,35,19,4,349.42
52,2023-02-21,57,74,96,1,991.5
53,2023-02-22,35,54,61,5,893.31
54,2023-02-23,4,88,90,2,795.13
55,2023-02-24,72,18,3,8,356.93
56,2023-02-25,11,70,26,2,837.44
57,2023-02-26,98,53,11,8,609.06
58,2023-02-27,16,70,68,8,350.16
59,2023-02-28,95,64,42,8,257.27
60,2023-03-01,41,18,23,7,713.98
61,2023-03-02,97,17,63,6,503.36
62,2023-03-03,94,58,67,6,208.53
63,2023-03-04,60,2,35,5,525.07
64,2023-03-05,48,38,57,4,660.85
65,2023-03-06,38,62,10,4,143.87
66,2023-03-07,88,30,79,2,170.17
67,2023-03-08,34,79,75,4,87.51
68,2023-03-09,84,24,78,9,855.82
69,2023-03-10,38,96,54,6,582.32
70,2023-03-11,59,45,24,8,973.36
71,2023-03-12,16,43,18,3,985.88
72,2023-03-13,63,13,41,5,301.33
73,2023-03-14,70,25,43,7,53.0
74,2023-03-15,38,97,47,9,917.44
75,2023-03-16,28,63,10,7,708.8
76,2023-03-17,48,27,74,5,554.59
77,2023-03-18,57,30,39,8,385.55
78,2023-03-19,89,96,93,6,138.72
79,2023-03-20,49,49,73,9,299.48
80,2023-03-21,99,68,14,9,609.08
81,2023-03-22,40,4,31,6,34.72
82,2023-03-23,53,54,19,5,44.14
83,2023-03-24,48,15,31,5,293.33
84,2023-03-25,93,64,33,6,345.71
85,2023-03-26,42,19,48,3,929.92
86,2023-03-27,7,17,63,2,334.9
87,2023-03-28,8,75,14,3,241.71
88,2023-03-29,3,95,89,3,294.11
89,2023-03-30,39,25,39,6,347.1
90,2023-03-31,55,11,33,5,502.89
91,2023-04-01,14,16,96,5,764.64
92,2023-04-02,3,3,98,3,413.59
93,2023-04-03,46,89,58,1,411.62
94,2023-04-04,24,96,83,9,658.9
95,2023-04-05,21,59,54,9,511.32
96,2023-04-06,64,74,70,2,592.5
97,2023-04-07,13,92,81,4,611.48
98,2023-04-08,70,56,55,2,276.91
99,2023-04-09,54,57,80,4,97.04
100,2023-04-10,16,77,72,7,58.52
