transaction_id,transaction_date,customer_id,product_id,store_id,quantity,total_amount
21,2023-01-21,47,42,49,7,466.11
22,2023-01-22,96,15,89,5,718.15
23,2023-01-23,35,23,15,5,702.91
24,2023-01-24,28,64,2,8,828.51
25,2023-01-25,44,27,92,1,446.7
26,2023-01-26,42,76,71,8,476.38
27,2023-01-27,32,54,51,5,250.27
28,2023-01-28,48,34,32,3,33.42
29,2023-01-29,16,57,32,2,618.96
30,2023-01-30,43,2,64,6,102.82
31,2023-01-31,11,30,45,5,601.03
32,2023-02-01,76,90,77,9,163.68
33,2023-02-02,98,70,35,1,191.8
34,2023-02-03,4,80,40,6,858.72
35,2023-02-04,4,28,72,4,285.36
36,2023-02-05,74,34,61,6,288.46
37,2023-02-06,84,5,61,3,986.31
38,2023-02-07,3,38,29,6,974.52
39,2023-02-08,25,60,89,2,252.64
40,2023-02-09,19,53,71,1,709.01
